"","X.1","X","great.call","bin","bandwidth","trill.rate","snr","trill.dur","bin.new","selection","female","playback","site"
"1",1,1,"CR_01_001.01","(0,1]",477.930390234375,5,12.9987647945679,4.987,1,1,"CR_01",1,"CR"
"2",2,2,"CR_01_001.01","(1,2]",412.780624720982,7,12.3620630535241,4.987,2,1,"CR_01",1,"CR"
"3",3,3,"CR_01_001.01","(2,3]",523.538749923706,8,13.2324085617909,4.987,3,1,"CR_01",1,"CR"
"4",4,4,"CR_01_001.01","(3,4]",NA,9,8.8718186299394,4.987,4,1,"CR_01",1,"CR"
"5",5,5,"CR_01_001.02","(0,1]",533.058328930664,5,16.7399070769268,6.019,1,2,"CR_01",1,"CR"
"6",6,6,"CR_01_001.02","(1,2]",385.506997192383,7,14.7192914789713,6.019,2,2,"CR_01",1,"CR"
"7",7,7,"CR_01_001.02","(2,3]",553.100826095581,8,13.537803964087,6.019,3,2,"CR_01",1,"CR"
"8",8,8,"CR_01_001.02","(3,4]",413.185464558919,9,8.66690569873339,6.019,4,2,"CR_01",1,"CR"
"9",9,9,"CR_01_001.02","(4,5]",477.310704101563,9,4.19699259601687,6.019,5,2,"CR_01",1,"CR"
"10",10,10,"CR_01_001.03","(0,1]",590.041516479492,5,17.8045070439653,4.021,1,3,"CR_01",1,"CR"
"11",11,11,"CR_01_001.03","(1,2]",570.646165924072,8,14.6349372196853,4.021,2,3,"CR_01",1,"CR"
"12",12,12,"CR_01_001.03","(2,3]",523.414939682007,8,13.176113718862,4.021,3,3,"CR_01",1,"CR"
"13",13,13,"CR_01_001.04","(0,1]",528.818304345703,5,23.4048188794658,4.979,1,4,"CR_01",1,"CR"
"14",14,14,"CR_01_001.04","(1,2]",491.406930960519,7,19.5660264234641,4.979,2,4,"CR_01",1,"CR"
"15",15,15,"CR_01_001.04","(2,3]",443.650191467285,8,15.9738412008453,4.979,3,4,"CR_01",1,"CR"
"16",16,16,"CR_01_001.04","(3,4]",491.541474446615,9,9.71513882000777,4.979,4,4,"CR_01",1,"CR"
"17",17,17,"CR_01_001.05","(0,1]",529.980215844727,5,19.9823144867849,5.022,1,5,"CR_01",1,"CR"
"18",18,18,"CR_01_001.05","(1,2]",544.405537582397,8,15.2119375574847,5.022,2,5,"CR_01",1,"CR"
"19",19,19,"CR_01_001.05","(2,3]",472.012260681152,8,12.7411558172476,5.022,3,5,"CR_01",1,"CR"
"20",20,20,"CR_01_001.05","(3,4]",540.625356933594,9,10.053291763458,5.022,4,5,"CR_01",1,"CR"
"21",21,21,"CR_01_001.06","(0,1]",587.622454833984,5,19.6418200119451,4.034,1,6,"CR_01",1,"CR"
"22",22,22,"CR_01_001.06","(1,2]",584.172434829712,8,16.2940190686136,4.034,2,6,"CR_01",1,"CR"
"23",23,23,"CR_01_001.06","(2,3]",490.140937225342,8,15.9834978042755,4.034,3,6,"CR_01",1,"CR"
"24",24,24,"CR_01_001.07","(0,1]",616.487384106445,5,18.0224138541529,5.004,1,7,"CR_01",1,"CR"
"25",25,25,"CR_01_001.07","(1,2]",624.637635445731,7,11.0137018640018,5.004,2,7,"CR_01",1,"CR"
"26",26,26,"CR_01_001.07","(2,3]",453.530672037761,9,10.9549839596785,5.004,3,7,"CR_01",1,"CR"
"27",27,27,"CR_01_001.07","(3,4]",459.723300537109,9,6.32172919986184,5.004,4,7,"CR_01",1,"CR"
"28",28,28,"DK_01_018.01","(0,1]",546.506025952148,5,29.4909569156927,10.029,1,1,"DK_01",1,"DK"
"29",29,29,"DK_01_018.01","(1,2]",469.300680332729,7,28.4957988565374,10.029,2,1,"DK_01",1,"DK"
"30",30,30,"DK_01_018.01","(2,3]",392.562820417131,7,27.834562838745,10.029,3,1,"DK_01",1,"DK"
"31",31,31,"DK_01_018.01","(3,4]",446.726399780273,8,26.061325294093,10.029,4,1,"DK_01",1,"DK"
"32",32,32,"DK_01_018.01","(4,5]",405.89044871521,8,23.5952414797435,10.029,5,1,"DK_01",1,"DK"
"33",33,33,"DK_01_018.01","(5,6]",NA,8,22.1540676874799,10.029,6,1,"DK_01",1,"DK"
"34",34,34,"DK_01_018.01","(6,7]",373.111687225342,8,20.363496420141,10.029,7,1,"DK_01",1,"DK"
"35",35,35,"DK_01_018.01","(7,8]",NA,7,16.2971932832908,10.029,8,1,"DK_01",1,"DK"
"36",36,36,"DK_01_018.01","(8,9]",NA,8,13.349490050546,10.029,9,1,"DK_01",1,"DK"
"37",37,37,"DK_01_018.02","(0,1]",521.343975292969,5,22.7622117726371,8.788,1,2,"DK_01",1,"DK"
"38",38,38,"DK_01_018.02","(1,2]",418.008772949219,6,21.9610651804955,8.788,2,2,"DK_01",1,"DK"
"39",39,39,"DK_01_018.02","(2,3]",444.050193786621,8,24.3300334293377,8.788,3,2,"DK_01",1,"DK"
"40",40,40,"DK_01_018.02","(3,4]",427.752480239868,8,23.8178781597684,8.788,4,2,"DK_01",1,"DK"
"41",41,41,"DK_01_018.02","(4,5]",392.278465026855,8,19.2083548623756,8.788,5,2,"DK_01",1,"DK"
"42",42,42,"DK_01_018.02","(5,6]",324.619569318499,7,20.7263101885142,8.788,6,2,"DK_01",1,"DK"
