"Selection"	"View"	"Channel"	"Begin.Time..s."	"End.Time..s."	"Low.Freq..Hz."	"High.Freq..Hz."	"Delta.Time..s."	"BW.90...Hz."	"Center.Freq..Hz."	"Center.Time..s."	"Dur.90...s."	"Freq.5...Hz."	"Freq.95...Hz."	"Peak.Freq.Contour..Hz."	"Occupancy"	"Frame.Duration"	"Reason"
1	"Spectrogram 1"	1	1.827	2.711	425.4	1154.7	0.885	258.4	689.1	2.56	0.7	602.9	861.3	"689.1;689.1;689.1;796.7;818.3;624.5;602.9;602.9;602.9;602.9;602.9;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;646.0;624.5;624.5;624.5;624.5;624.5;624.5;646.0;646.0;624.5;624.5;624.5;624.5;624.5;624.5;624.5;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;667.5;667.5;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;624.5;624.5;624.5;624.5;624.5;646.0;646.0;646.0;646.0;646.0;646.0;667.5;667.5;646.0;646.0;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;689.1;667.5;689.1;689.1;667.5;667.5;667.5;689.1;689.1;689.1;689.1;689.1;689.1;689.1;667.5;646.0;689.1;710.6;732.1;732.1;732.1;732.1;753.7;775.2;775.2;796.7;796.7;818.3;861.3;861.3;861.3;818.3;710.6;775.2;796.7;796.7;839.8;839.8"	NA	NA	NA
2	"Spectrogram 1"	1	2.868	3.553	442.8	1241.5	0.685	301.5	732.1	3.431	0.5	624.5	925.9	"667.5;689.1;818.3;839.8;818.3;796.7;775.2;624.5;602.9;602.9;624.5;602.9;602.9;602.9;602.9;602.9;602.9;602.9;602.9;602.9;602.9;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;646.0;646.0;624.5;646.0;667.5;646.0;646.0;624.5;624.5;646.0;646.0;667.5;646.0;646.0;646.0;646.0;667.5;667.5;667.5;646.0;646.0;646.0;646.0;646.0;667.5;689.1;667.5;646.0;646.0;667.5;667.5;689.1;667.5;667.5;689.1;689.1;667.5;667.5;667.5;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;710.6;710.6;689.1;710.6;710.6;710.6;710.6;710.6;710.6;732.1;732.1;732.1;732.1;753.7;753.7;753.7;775.2;775.2;796.7;796.7;818.3;861.3;861.3;882.9;925.9;947.5;947.5;775.2;796.7;839.8;839.8;882.9;904.4;904.4"	NA	NA	NA
3	"Spectrogram 1"	1	3.696	4.324	425.4	1267.6	0.628	323	753.7	4.127	0.3	646	969	"882.9;775.2;818.3;818.3;818.3;775.2;775.2;646.0;624.5;796.7;646.0;646.0;624.5;624.5;646.0;624.5;624.5;624.5;624.5;624.5;624.5;646.0;646.0;646.0;667.5;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;667.5;667.5;667.5;667.5;667.5;646.0;667.5;667.5;667.5;689.1;667.5;667.5;689.1;689.1;667.5;667.5;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;732.1;732.1;732.1;732.1;753.7;753.7;753.7;753.7;775.2;775.2;796.7;818.3;839.8;861.3;861.3;904.4;925.9;947.5;969.0;969.0;796.7;839.8;861.3;882.9;904.4;904.4;689.1;689.1;839.8;861.3;904.4;732.1;796.7;796.7;689.1;969.0;925.9;882.9;947.5;925.9;796.7"	NA	NA	NA
4	"Spectrogram 1"	1	4.424	4.754	400	1600	0.33	387.6	775.2	4.685	0.2	646	1033.6	"646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;667.5;646.0;667.5;667.5;667.5;667.5;667.5;667.5;667.5;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;710.6;710.6;710.6;710.6;732.1;732.1;732.1;732.1;753.7;753.7;775.2;775.2;796.7;818.3;818.3;861.3;882.9;904.4;947.5;969.0;1033.6;1055.1;1033.6;839.8"	1	NA	NA
5	"Spectrogram 1"	1	5.004	5.23	400	1600	0.226	366.1	775.2	5.137	0.2	667.5	1033.6	"689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;710.6;710.6;710.6;710.6;710.6;732.1;732.1;732.1;732.1;732.1;753.7;753.7;775.2;775.2;796.7;818.3;839.8;861.3;882.9;947.5;969.0;1055.1;1076.7;1119.7;1119.7;839.8;861.3;904.4;904.4"	1	NA	NA
6	"Spectrogram 1"	1	5.416	5.619	400	1600	0.203	387.6	775.2	5.521	0.2	689.1	1076.7	"689.1;689.1;689.1;689.1;710.6;710.6;710.6;732.1;732.1;732.1;732.1;732.1;732.1;753.7;753.7;753.7;775.2;775.2;775.2;796.7;796.7;796.7;839.8;839.8;861.3;904.4;947.5;969.0;1055.1;1098.2;1119.7;1098.2;861.3;882.9;904.4;753.7"	1	NA	NA
7	"Spectrogram 1"	1	5.811	5.95	400	1600	0.139	452.2	882.9	5.892	0.1	732.1	1184.3	"732.1;732.1;732.1;753.7;775.2;775.2;775.2;775.2;796.7;796.7;818.3;839.8;861.3;882.9;904.4;947.5;990.5;1076.7;1119.7;1162.8;1205.9;1184.3;1184.3;925.9"	1	NA	NA
8	"Spectrogram 1"	1	6.113	6.229	400	1600	0.116	473.7	947.5	6.176	0.1	753.7	1227.4	"732.1;753.7;753.7;775.2;796.7;796.7;818.3;861.3;861.3;882.9;925.9;969.0;969.0;1076.7;1141.3;1184.3;1227.4;1270.5;1248.9;925.9;1033.6"	1	NA	NA
9	"Spectrogram 1"	1	6.374	6.473	400	1600	0.099	495.3	1012.1	6.42	0.1	753.7	1248.9	"753.7;753.7;775.2;796.7;839.8;882.9;925.9;969.0;1055.1;1141.3;1184.3;1227.4;1248.9;839.8;1313.5;1033.6;1055.1;1033.6"	1	NA	NA
10	"Spectrogram 1"	1	6.589	6.67	400	1600	0.081	452.2	1033.6	6.623	0.1	796.7	1248.9	"796.7;818.3;818.3;861.3;904.4;969.0;1076.7;1141.3;1184.3;1227.4;1248.9;1313.5;1335.1;1033.6;1055.1"	1	NA	NA
