"Selection"	"View"	"Channel"	"Begin.Time..s."	"End.Time..s."	"Low.Freq..Hz."	"High.Freq..Hz."	"Delta.Time..s."	"BW.90...Hz."	"Center.Freq..Hz."	"Center.Time..s."	"Dur.90...s."	"Freq.5...Hz."	"Freq.95...Hz."	"Peak.Freq.Contour..Hz."	"Occupancy"	"Frame.Duration"	"Reason"
1	"Spectrogram 1"	1	0.232	1.086	400	1600	0.853	193.8	667.5	0.685	0.7	602.9	796.7	"624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;646.0;646.0;646.0;646.0;624.5;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;689.1;689.1;689.1;689.1;689.1;689.1;710.6;710.6;710.6;710.6;732.1;732.1;753.7;753.7;753.7;775.2;796.7;818.3;818.3;839.8;861.3;882.9;882.9;925.9;969.0;1012.1;732.1;732.1"	1	NA	NA
2	"Spectrogram 1"	1	1.382	2.2	400	1600	0.819	193.8	689.1	1.823	0.7	646	839.8	"646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;689.1;689.1;689.1;667.5;667.5;667.5;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;710.6;710.6;689.1;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;732.1;732.1;732.1;732.1;732.1;753.7;753.7;753.7;775.2;796.7;796.7;818.3;839.8;861.3;861.3;904.4;947.5;1012.1;1055.1;1141.3;732.1;775.2;775.2;753.7;796.7;732.1;732.1;732.1;839.8"	0.9645	NA	NA
3	"Spectrogram 1"	1	2.45	3.053	400	1600	0.604	258.4	710.6	2.792	0.5	646	904.4	"667.5;646.0;646.0;646.0;646.0;646.0;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;710.6;710.6;689.1;689.1;689.1;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;732.1;732.1;732.1;732.1;753.7;753.7;753.7;753.7;775.2;775.2;775.2;796.7;796.7;818.3;839.8;839.8;861.3;882.9;904.4;925.9;990.5;1055.1;1119.7;1184.3;1205.9;753.7;732.1;839.8;818.3;839.8"	1	NA	NA
4	"Spectrogram 1"	1	3.297	3.75	400	1600	0.453	279.9	732.1	3.535	0.3	667.5	947.5	"667.5;667.5;667.5;667.5;667.5;667.5;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;732.1;732.1;732.1;732.1;732.1;732.1;732.1;732.1;753.7;753.7;753.7;775.2;796.7;796.7;818.3;818.3;839.8;861.3;882.9;904.4;925.9;1012.1;1055.1;1184.3;1270.5;1313.5;1356.6;753.7;732.1;818.3;818.3;839.8;839.8;904.4"	1	NA	NA
5	"Spectrogram 1"	1	3.936	4.243	400	1600	0.308	473.7	753.7	4.11	0.2	667.5	1141.3	"689.1;667.5;667.5;667.5;689.1;667.5;689.1;689.1;689.1;689.1;689.1;689.1;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;732.1;732.1;732.1;732.1;732.1;732.1;753.7;753.7;753.7;753.7;753.7;753.7;775.2;775.2;796.7;796.7;796.7;818.3;839.8;839.8;861.3;882.9;904.4;925.9;947.5;1012.1;1076.7;1184.3;1292.0;1335.1;1378.1;1399.7;818.3;839.8"	1	NA	NA
6	"Spectrogram 1"	1	4.429	4.661	400	1600	0.232	538.3	796.7	4.563	0.2	689.1	1227.4	"667.5;667.5;667.5;667.5;689.1;689.1;689.1;710.6;710.6;710.6;710.6;732.1;732.1;732.1;732.1;732.1;753.7;753.7;753.7;775.2;775.2;775.2;796.7;796.7;818.3;839.8;839.8;861.3;861.3;882.9;904.4;947.5;990.5;1055.1;1184.3;1292.0;1356.6;1399.7;1421.2;818.3;818.3"	1	NA	NA
7	"Spectrogram 1"	1	4.83	5.027	400	1600	0.197	581.4	796.7	4.934	0.1	689.1	1270.5	"667.5;667.5;667.5;667.5;689.1;689.1;710.6;710.6;732.1;732.1;732.1;753.7;753.7;753.7;775.2;775.2;796.7;796.7;818.3;818.3;839.8;861.3;882.9;904.4;947.5;1012.1;1141.3;1184.3;1292.0;1378.1;1421.2;775.2;818.3;818.3"	0.9706	NA	NA
8	"Spectrogram 1"	1	5.166	5.3	400	1600	0.134	646	861.3	5.242	0.1	689.1	1335.1	"667.5;667.5;689.1;689.1;710.6;710.6;732.1;753.7;775.2;796.7;818.3;818.3;861.3;861.3;882.9;925.9;969.0;1055.1;1184.3;1270.5;1292.0;1421.2;1421.2"	1	NA	NA
9	"Spectrogram 1"	1	5.422	5.544	400	1600	0.122	753.7	904.4	5.48	0.1	667.5	1421.2	"667.5;667.5;667.5;689.1;710.6;732.1;753.7;775.2;818.3;861.3;882.9;925.9;990.5;1119.7;1205.9;1270.5;1292.0;1421.2;1464.3;1507.3;710.6;753.7"	0.9524	NA	NA
10	"Spectrogram 1"	1	5.642	5.73	400	1600	0.087	775.2	947.5	5.689	0.1	667.5	1442.7	"667.5;667.5;689.1;732.1;753.7;796.7;861.3;904.4;947.5;1141.3;1205.9;1270.5;1399.7;1442.7;1464.3;1485.8"	1	NA	NA
