Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	BW 90% (Hz)	Center Freq (Hz)	Center Time (s)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Peak Freq Contour (Hz)	Occupancy	Frame Duration	Reason
1	Spectrogram 1	1	0.168	0.737	400	1600	0.569	107.7	689.1	0.435	0.4	646	753.7	646.0;646.0;646.0;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;689.1;667.5;667.5;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;710.6;710.6;710.6;732.1;732.1;753.7;775.2;839.8;861.3;861.3;839.8;775.2;904.4;882.9;732.1	1	NA	NA
2	Spectrogram 1	1	0.969	1.829	400	1600	0.859	129.2	689.1	1.544	0.6	646	775.2	646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;689.1;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;689.1;667.5;689.1;667.5;667.5;689.1;667.5;689.1;667.5;667.5;689.1;689.1;689.1;689.1;667.5;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;710.6;710.6;710.6;710.6;710.6;710.6;732.1;732.1;732.1;753.7;775.2;818.3;839.8;861.3;861.3;839.8;796.7;969.0;904.4;1033.6;753.7;753.7;969.0;882.9;861.3;904.4;947.5;775.2;732.1;861.3;904.4	0.973	NA	NA
3	Spectrogram 1	1	2.038	2.641	400	1600	0.604	129.2	689.1	2.299	0.5	646	775.2	667.5;667.5;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;732.1;732.1;732.1;732.1;732.1;732.1;775.2;775.2;818.3;839.8;861.3;861.3;839.8;796.7;990.5;904.4;1055.1;1098.2;1098.2	0.9904	NA	NA
4	Spectrogram 1	1	2.879	3.262	400	1600	0.383	193.8	710.6	3.071	0.3	667.5	861.3	689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;732.1;732.1;732.1;732.1;732.1;753.7;775.2;796.7;839.8;861.3;861.3;839.8;796.7;1055.1;1076.7;1119.7;1141.3;1162.8	1	NA	NA
5	Spectrogram 1	1	3.448	3.698	400	1600	0.25	430.7	732.1	3.564	0.2	689.1	1119.7	710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;732.1;732.1;732.1;732.1;732.1;732.1;732.1;732.1;732.1;732.1;732.1;732.1;753.7;753.7;753.7;753.7;796.7;818.3;839.8;861.3;861.3;818.3;796.7;1076.7;1119.7;1141.3;1184.3;1184.3;1184.3;861.3	1	NA	NA
6	Spectrogram 1	1	3.849	4.29	400	1600	0.441	495.3	796.7	3.976	0.4	710.6	1205.9	732.1;732.1;732.1;732.1;732.1;732.1;732.1;753.7;753.7;753.7;753.7;753.7;775.2;775.2;775.2;796.7;839.8;839.8;861.3;839.8;796.7;1055.1;1098.2;1141.3;1184.3;1205.9;1205.9;1184.3;882.9;882.9;969.0;775.2;818.3;839.8;839.8;969.0;969.0;753.7;732.1;732.1;732.1;732.1;732.1;753.7;753.7;753.7;753.7;753.7;667.5;710.6;732.1;753.7;753.7;753.7;753.7;775.2;775.2;796.7;818.3;839.8;861.3;861.3;839.8;796.7;1033.6;1076.7;1119.7;1162.8;1205.9;1227.4;1227.4;861.3;904.4;969.0;818.3;818.3;839.8	0.8947	NA	NA
7	Spectrogram 1	1	4.365	4.481	400	1600	0.116	495.3	947.5	4.435	0.1	732.1	1227.4	732.1;732.1;753.7;753.7;775.2;796.7;818.3;861.3;861.3;839.8;796.7;1055.1;1098.2;1141.3;1184.3;1205.9;1227.4;1270.5;861.3;882.9;969.0	1	NA	NA
8	Spectrogram 1	1	4.569	4.667	400	1600	0.099	495.3	1055.1	4.621	0.1	732.1	1227.4	753.7;775.2;796.7;839.8;861.3;861.3;818.3;1055.1;1076.7;1141.3;1184.3;1205.9;1205.9;1184.3;667.5;904.4;947.5;1012.1	1	NA	NA
9	Spectrogram 1	1	4.737	4.801	400	1600	0.064	430.7	1076.7	4.777	0.1	796.7	1227.4	775.2;818.3;839.8;861.3;861.3;990.5;1055.1;1098.2;1162.8;1184.3;1205.9;1184.3	1	NA	NA
10	Spectrogram 1	1	4.894	4.946	400	1600	0.052	409.1	1119.7	4.928	0	818.3	1227.4	861.3;861.3;861.3;839.8;1055.1;1119.7;1162.8;1184.3;1184.3;1184.3	1	NA	NA
