"Selection"	"View"	"Channel"	"Begin.Time..s."	"End.Time..s."	"Low.Freq..Hz."	"High.Freq..Hz."	"Delta.Time..s."	"BW.90...Hz."	"Center.Freq..Hz."	"Center.Time..s."	"Dur.90...s."	"Freq.5...Hz."	"Freq.95...Hz."	"Peak.Freq.Contour..Hz."	"Occupancy"	"Frame.Duration"	"Reason"
1	"Spectrogram 1"	1	0.279	0.981	400	1300	0.702	107.7	667.5	0.656	0.6	624.5	732.1	"646.0;646.0;646.0;646.0;646.0;646.0;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;710.6;710.6;710.6;710.6;732.1;753.7;775.2;818.3;839.8;904.4;947.5;969.0;1012.1;1055.1;1055.1"	1	NA	NA
2	"Spectrogram 1"	1	1.225	1.956	400	1300	0.731	107.7	689.1	1.591	0.6	646	753.7	"624.5;646.0;646.0;646.0;646.0;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;710.6;710.6;710.6;710.6;710.6;710.6;710.6;732.1;732.1;732.1;753.7;775.2;796.7;818.3;839.8;882.9;925.9;947.5;990.5;1012.1;1055.1;1076.7;710.6"	1	NA	NA
3	"Spectrogram 1"	1	2.188	2.792	400	1300	0.604	150.7	689.1	2.502	0.5	646	796.7	"667.5;667.5;667.5;667.5;667.5;667.5;667.5;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;710.6;710.6;710.6;710.6;710.6;710.6;710.6;732.1;732.1;732.1;753.7;753.7;775.2;796.7;818.3;839.8;861.3;904.4;947.5;947.5;990.5;1033.6;1055.1;1098.2;1119.7;1141.3;1141.3;796.7;775.2;947.5"	0.9904	NA	NA
4	"Spectrogram 1"	1	2.99	3.408	400	1300	0.418	301.5	710.6	3.181	0.3	667.5	969	"667.5;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;732.1;732.1;732.1;732.1;753.7;753.7;775.2;818.3;839.8;882.9;925.9;969.0;1012.1;1055.1;1098.2;1119.7;1141.3;1141.3;1119.7;947.5;925.9;775.2"	0.9722	NA	NA
5	"Spectrogram 1"	1	3.57	3.843	400	1300	0.273	409.1	732.1	3.709	0.2	689.1	1098.2	"689.1;689.1;689.1;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;732.1;732.1;732.1;732.1;732.1;732.1;732.1;732.1;732.1;732.1;753.7;775.2;796.7;818.3;839.8;882.9;925.9;969.0;1012.1;1055.1;1119.7;1162.8;1184.3;1205.9;1184.3;732.1;775.2;775.2;775.2"	0.9787	NA	NA
6	"Spectrogram 1"	1	3.971	4.191	400	1300	0.221	473.7	775.2	4.052	0.1	689.1	1162.8	"710.6;710.6;710.6;710.6;732.1;732.1;732.1;732.1;732.1;732.1;732.1;753.7;753.7;753.7;775.2;775.2;796.7;818.3;839.8;882.9;925.9;947.5;990.5;1033.6;1098.2;1141.3;1162.8;1205.9;1205.9;1184.3;775.2;775.2;753.7;753.7;753.7;1012.1;1012.1;753.7;753.7"	0.9474	NA	NA
7	"Spectrogram 1"	1	4.261	4.429	400	1300	0.168	473.7	904.4	4.348	0.1	710.6	1184.3	"667.5;689.1;710.6;732.1;732.1;732.1;753.7;753.7;753.7;775.2;796.7;818.3;818.3;861.3;904.4;947.5;990.5;1033.6;1076.7;1141.3;1184.3;1205.9;1205.9;1162.8;839.8;796.7;753.7;753.7;753.7;882.9"	0.931	NA	NA
8	"Spectrogram 1"	1	4.505	4.615	400	1300	0.11	452.2	990.5	4.563	0.1	732.1	1184.3	"732.1;732.1;753.7;753.7;775.2;796.7;839.8;882.9;925.9;969.0;1012.1;1076.7;1119.7;1162.8;1205.9;1205.9;1184.3;969.0;861.3"	0.9474	NA	NA
9	"Spectrogram 1"	1	4.696	4.772	400	1300	0.075	430.7	1033.6	4.743	0.1	753.7	1184.3	"753.7;753.7;775.2;796.7;839.8;882.9;947.5;969.0;1033.6;1076.7;1141.3;1184.3;1205.9;1184.3"	1	NA	NA
10	"Spectrogram 1"	1	4.859	4.952	400	1300	0.093	430.7	1033.6	4.899	0.1	753.7	1184.3	"753.7;753.7;775.2;818.3;861.3;925.9;969.0;1033.6;1076.7;1141.3;1162.8;1141.3;1055.1;1033.6;969.0;1055.1;839.8"	0.8125	NA	NA
